	BMAL1 (ARNTL)	CLOCK	CRY1	CRY2	CSNK2B	DEC1 (BHLHB2)	NPAS2	CIPC (KIAA1737)	RORC	DEC2 (BHLHB3)	PPP2R5D	PPP2R5E	PER2	PER1	CSNK1E	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	EZH2	FBXL15	PPP1CA	PPP1CB	PPP2R1A	PPP2R1B	GSK3B	FBXW11	NONO	WDR5	CSNK1D	PPP2CA	RORB	NFIL3	RASD1	PRKACA	BMAL2 (ARNTL2)	DBP	RORA	PPP2CB	PER3	TIMELESS (TIM)	PPP5C	PRKCA	BTRC	NR1D1	FBXL3
38	422.8	1255.9	5217.3	2047.2	27239.9	18742.4	61.65	4128.133333333333	1959.75	51.8	838.2	6108.48	963.6999999999999	573.5	92.83333333333333	37751.25	2294.016666666667	1584.8666666666668	17539.4	224.1	449.4	22496.8	17872.975	13859.920000000002	3764.2	1156.05	8802.939999999999	7251.7750000000015	1786.5	5179.52	13503.066666666666	71.0	1856.9	48.1	5931.3	56.7	17611.05	3003.6111111111113	3482.35	231.75	53.45	2607.9	91.56666666666666	341.1	122.0	1536.5
39	1240.3	1441.625	6431.1	1961.8	22177.8	16074.0	62.6	3735.933333333334	2744.05	52.45	861.7	5153.660000000001	828.3000000000001	577.7	89.13333333333334	28319.85	2186.266666666667	1390.1833333333332	12150.699999999999	309.8	358.7	21516.2	18331.1	13909.74	3746.1	1096.8166666666668	9172.52	7024.549999999999	1509.45	5827.020000000001	12649.733333333332	71.5	2336.7	48.8	6573.55	58.45	8767.2	3353.555555555556	2835.85	195.8333333333333	54.0	2529.366666666667	84.5	353.12	222.4	1597.1333333333332
40	1555.1	1571.25	7102.9	2216.9	24772.7	21574.9	63.4	3408.0333333333333	3153.8	52.65	908.3	4803.2	799.5666666666666	495.0	88.36666666666667	29989.600000000002	2082.7833333333333	1432.1833333333334	9841.800000000001	301.5	464.2	24794.2	19871.0	13953.64	4137.7	1023.1833333333334	8876.600000000002	6624.325	2018.9	5747.3	12593.533333333335	72.0	2106.2	49.0	7295.85	57.75	3992.05	3588.5333333333333	3190.9500000000003	161.5	64.9	2535.8333333333335	88.83333333333333	350.47999999999996	120.9	1799.8
41	2093.8	1639.95	8937.4	2711.1	25248.0	17005.0	64.5	3272.3333333333335	2726.95	53.2	847.1	3716.3599999999997	494.06666666666666	506.7	94.10000000000001	27739.3	1835.3999999999996	1369.05	10343.1	283.5	364.4	22836.6	20732.1	14206.16	3377.1	968.2666666666665	8976.900000000001	6486.425	1907.15	5860.119999999999	12635.133333333331	73.06666666666666	3123.6	49.2	7162.200000000001	59.3	3235.25	4317.7555555555555	3019.5499999999997	143.61666666666667	54.15	2878.2666666666664	93.66666666666667	384.72	122.4	1892.5333333333335
42	2637.4	1729.75	9548.7	2301.0	23611.1	13093.1	62.949999999999996	2899.9	3842.3	52.45	862.0	5967.32	659.9	489.4	97.56666666666668	27222.300000000003	2698.3666666666672	1457.1166666666668	8699.099999999999	288.7	406.4	20648.1	20435.350000000002	13621.52	3649.3	1239.35	8053.780000000001	7329.999999999999	1857.0	5955.000000000001	12288.199999999999	71.60000000000001	4720.3	48.5	7012.3	57.95	2047.6	4647.744444444444	3015.1000000000004	120.83333333333333	60.8	2599.7000000000003	88.43333333333334	415.68	120.3	1926.4333333333334
43	3298.6	1817.6	10807.0	2358.0	23879.5	9700.0	63.599999999999994	2780.5333333333333	3467.8	52.6	863.1	5220.34	343.5	492.5	97.36666666666667	26676.6	2472.433333333333	1312.9166666666667	7574.35	293.4	353.4	22543.3	17208.075	12697.539999999999	3708.4	1210.7500000000002	7467.38	6839.65	1995.5	6783.9400000000005	12057.933333333332	72.10000000000001	5188.3	48.5	7324.599999999999	57.8	1488.85	4416.166666666668	2808.2	139.93333333333337	54.099999999999994	2559.5666666666666	102.26666666666665	367.42	118.8	1999.0999999999997
44	3950.4	2547.85	10506.1	2124.8	18008.0	9159.3	62.0	3375.3333333333326	3418.5	51.9	824.6	4552.12	279.6333333333333	483.0	78.2	28116.75	2757.9	1279.7666666666667	5737.549999999999	308.3	325.7	21316.7	19053.3	11075.939999999999	3860.5	1100.1166666666666	7891.2	7795.6	1824.2	5942.360000000001	12333.933333333334	71.39999999999999	3781.9	48.3	5838.55	56.9	1149.95	5427.2444444444445	2846.2	112.01666666666667	56.4	2198.9333333333334	110.39999999999999	400.96000000000004	111.9	2082.0333333333333
45	4800.3	2368.775	11455.7	1936.2	20780.4	9272.8	76.2	2924.433333333333	2923.95	52.4	839.1	5019.76	204.5	475.5	82.23333333333333	28895.55	2524.8333333333335	1557.1000000000001	4430.2	319.4	327.0	23056.5	19154.125	13442.8	4607.7	1265.8	7405.3200000000015	7272.825	1716.85	6894.240000000001	11598.333333333334	71.66666666666667	4533.8	48.7	7847.4	57.45	643.8	4619.455555555555	3207.4500000000003	112.23333333333333	54.05	2338.6666666666665	87.13333333333333	368.28	113.7	2285.566666666667
46	3870.7	2636.225	7635.8	1586.6	16143.0	6239.0	84.0	2743.6	2279.6000000000004	53.05	621.1	3178.28	111.83333333333333	495.0	92.10000000000001	30949.2	2404.5666666666666	1183.0166666666667	4827.0	312.3	303.8	18156.9	21896.875	10065.560000000001	4242.1	822.1666666666666	7161.0599999999995	7524.325000000001	1777.35	5829.960000000001	11374.299999999997	73.60000000000001	4235.8	48.9	4508.9	59.75	563.6	4790.011111111111	2572.0	116.39999999999999	54.400000000000006	1957.5999999999997	89.2	370.2	122.4	2057.566666666666
47	5197.4	2483.8999999999996	8095.3	1505.8	18416.3	12184.5	266.0	3110.7999999999997	1730.95	53.35	861.2	4534.660000000001	114.10000000000001	471.0	87.7	31483.100000000002	2399.5333333333338	1581.9000000000003	3157.3	349.0	323.9	23394.1	21252.925	13280.019999999999	4756.7	1024.6666666666667	8782.460000000001	7121.200000000001	1465.6	7113.38	12430.300000000001	73.26666666666667	3308.4	49.7	8211.5	59.65	191.25	3702.8333333333335	2900.9	119.61666666666667	54.8	2333.1	88.33333333333333	353.34	122.6	1713.1000000000001
