affy	entrez	Species	Gene Name
1441577_at	399604	Mus musculus	RIKEN cDNA C530014P21 gene(C530014P21Rik)
1438607_at	245308	Mus musculus	zinc finger, DHHC domain containing 19(Zdhhc19)
1456760_at	231044	Mus musculus	gastrulation brain homeobox 1(Gbx1)
1439371_x_at	21856	Mus musculus	translocase of inner mitochondrial membrane 44(Timm44)
1456863_at	13838	Mus musculus	Eph receptor A4(Epha4)
1425150_at	209186	Mus musculus	acyl-coenzyme A amino acid N-acyltransferase 2(Acnat2)
1455421_x_at	76156	Mus musculus	family with sequence similarity 131, member B(Fam131b)
1424425_a_at	66902	Mus musculus	methylthioadenosine phosphorylase(Mtap)
1423305_at	56219	Mus musculus	exostoses (multiple)-like 1(Extl1)
1428477_at	68626	Mus musculus	elaC ribonuclease Z 2(Elac2)
1442967_at	102226	Mus musculus	expressed sequence AU020147(AU020147)
1453843_at	381650	Mus musculus	THAP domain containing 6(Thap6)
1427311_at	207165	Mus musculus	bromodomain PHD finger transcription factor(Bptf)
1436234_at	319719	Mus musculus	SUMO-interacting motifs containing 1(Simc1)
1440541_at	72735	Mus musculus	Egfr long non-coding downstream RNA(Eldr)
1449679_s_at	56389	Mus musculus	syntaxin 5A(Stx5a)
1422196_at	15564	Mus musculus	5-hydroxytryptamine (serotonin) receptor 5B(Htr5b)
1443752_at	381522	Mus musculus	coiled-coil domain containing 180(Ccdc180)
1421427_at	77018	Mus musculus	collagen, type XXV, alpha 1(Col25a1)
1419611_at	70808	Mus musculus	RRS1 ribosome biogenesis regulator homolog pseudogene(4632415L05Rik)
1440238_at	243842	Mus musculus	glioma tumor suppressor candidate region gene 1(Gltscr1)
1426507_at	54450	Mus musculus	interleukin 1 family, member 5 (delta)(Il1f5)
1434868_at	329735	Mus musculus	RIKEN cDNA 4933431E20 gene(4933431E20Rik)
1423956_at	98366	Mus musculus	small ArfGAP 1(Smap1)
1437091_at	241118	Mus musculus	acid-sensing (proton-gated) ion channel family member 4(Asic4)
1450570_a_at	12478	Mus musculus	CD19 antigen(Cd19)
1454028_at	70963	Mus musculus	RIKEN cDNA 4931402H11 gene(4931402H11Rik)
1454776_at	77683	Mus musculus	euchromatic histone methyltransferase 1(Ehmt1)
1439953_at	54128	Mus musculus	phosphomannomutase 2(Pmm2)
1432155_at	73178	Mus musculus	Wiskott-Aldrich syndrome-like (human)(Wasl)
1448172_at	17449	Mus musculus	malate dehydrogenase 1, NAD (soluble)(Mdh1)
1445098_at	101255	Mus musculus	expressed sequence AU022706(AU022706)
1460294_at	50769	Mus musculus	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2(Atp8a2)
1456543_at	58182	Mus musculus	prokineticin receptor 1(Prokr1)
1422732_at	67811	Mus musculus	polymerase (DNA-directed), delta interacting protein 2(Poldip2)
1442856_at	223780	Mus musculus	adrenomedullin 2(Adm2)
1422763_at	67903	Mus musculus	GIPC PDZ domain containing family, member 1(Gipc1)
1454575_at	433966	Mus musculus	RIKEN cDNA 5730422E09 gene(5730422E09Rik)
1422572_at	56212	Mus musculus	ras homolog family member G(Rhog)
1433116_at	70644	Mus musculus	RIKEN cDNA 5730552O08 gene(5730552O08Rik)
1432570_at	77881	Mus musculus	RIKEN cDNA 6030458E02 gene(6030458E02Rik)
